Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTimeSeconds,Race,Year,RoundNumber
0 days 01:26:03.449000,HAM,44,0 days 00:02:20.418000,6.0,4.0,,,0 days 00:00:43.910000,0 days 00:00:34.755000,0 days 00:01:01.753000,0 days 01:24:27.033000,0 days 01:25:01.788000,0 days 01:26:03.541000,118.0,246.0,213.0,196.0,True,INTERMEDIATE,6.0,False,Ferrari,0 days 01:23:43.031000,2025-03-16 04:31:05.650,4,8.0,False,,False,False,140.418,Australian Grand Prix,2025,1
0 days 01:28:10.947000,HAM,44,0 days 00:02:07.498000,7.0,4.0,,,0 days 00:00:42.591000,0 days 00:00:30.377000,0 days 00:00:54.530000,0 days 01:26:46.132000,0 days 01:27:16.509000,0 days 01:28:11.039000,127.0,166.0,277.0,212.0,True,INTERMEDIATE,7.0,False,Ferrari,0 days 01:26:03.449000,2025-03-16 04:33:26.068,41,8.0,False,,False,False,127.498,Australian Grand Prix,2025,1
0 days 01:29:49.258000,HAM,44,0 days 00:01:38.311000,8.0,4.0,,,0 days 00:00:35.572000,0 days 00:00:20.255000,0 days 00:00:42.484000,0 days 01:28:46.611000,0 days 01:29:06.866000,0 days 01:29:49.350000,249.0,301.0,279.0,230.0,True,INTERMEDIATE,8.0,False,Ferrari,0 days 01:28:10.947000,2025-03-16 04:35:33.566,1,8.0,False,,False,True,98.311,Australian Grand Prix,2025,1
0 days 01:31:25.500000,HAM,44,0 days 00:01:36.242000,9.0,4.0,,,0 days 00:00:34.554000,0 days 00:00:19.882000,0 days 00:00:41.806000,0 days 01:30:23.904000,0 days 01:30:43.786000,0 days 01:31:25.592000,257.0,305.0,281.0,240.0,True,INTERMEDIATE,9.0,False,Ferrari,0 days 01:29:49.258000,2025-03-16 04:37:11.877,1,8.0,False,,False,True,96.242,Australian Grand Prix,2025,1
0 days 01:33:00.607000,HAM,44,0 days 00:01:35.107000,10.0,4.0,,,0 days 00:00:33.954000,0 days 00:00:19.890000,0 days 00:00:41.263000,0 days 01:31:59.546000,0 days 01:32:19.436000,0 days 01:33:00.699000,258.0,297.0,280.0,246.0,True,INTERMEDIATE,10.0,False,Ferrari,0 days 01:31:25.500000,2025-03-16 04:38:48.119,1,8.0,False,,False,True,95.107,Australian Grand Prix,2025,1
0 days 01:34:34.906000,HAM,44,0 days 00:01:34.299000,11.0,4.0,,,0 days 00:00:33.496000,0 days 00:00:19.828000,0 days 00:00:40.975000,0 days 01:33:34.195000,0 days 01:33:54.023000,0 days 01:34:34.998000,262.0,297.0,278.0,258.0,True,INTERMEDIATE,11.0,False,Ferrari,0 days 01:33:00.607000,2025-03-16 04:40:23.226,1,8.0,False,,False,True,94.299,Australian Grand Prix,2025,1
0 days 01:36:08.161000,HAM,44,0 days 00:01:33.255000,12.0,4.0,,,0 days 00:00:33.410000,0 days 00:00:19.708000,0 days 00:00:40.137000,0 days 01:35:08.408000,0 days 01:35:28.116000,0 days 01:36:08.253000,,304.0,291.0,266.0,True,INTERMEDIATE,12.0,False,Ferrari,0 days 01:34:34.906000,2025-03-16 04:41:57.525,1,8.0,False,,False,True,93.255,Australian Grand Prix,2025,1
0 days 01:37:41.178000,HAM,44,0 days 00:01:33.017000,13.0,4.0,,,0 days 00:00:33.163000,0 days 00:00:19.171000,0 days 00:00:40.683000,0 days 01:36:41.416000,0 days 01:37:00.587000,0 days 01:37:41.270000,260.0,319.0,288.0,258.0,True,INTERMEDIATE,13.0,False,Ferrari,0 days 01:36:08.161000,2025-03-16 04:43:30.780,1,8.0,False,,False,True,93.017,Australian Grand Prix,2025,1
0 days 01:39:14.170000,HAM,44,0 days 00:01:32.992000,14.0,4.0,,,0 days 00:00:33.133000,0 days 00:00:19.416000,0 days 00:00:40.443000,0 days 01:38:14.403000,0 days 01:38:33.819000,0 days 01:39:14.262000,262.0,298.0,289.0,268.0,True,INTERMEDIATE,14.0,False,Ferrari,0 days 01:37:41.178000,2025-03-16 04:45:03.797,1,8.0,False,,False,True,92.992,Australian Grand Prix,2025,1
0 days 01:40:46.933000,HAM,44,0 days 00:01:32.763000,15.0,4.0,,,0 days 00:00:32.838000,0 days 00:00:19.117000,0 days 00:00:40.808000,0 days 01:39:47.100000,0 days 01:40:06.217000,0 days 01:40:47.025000,,315.0,288.0,270.0,True,INTERMEDIATE,15.0,False,Ferrari,0 days 01:39:14.170000,2025-03-16 04:46:36.789,1,8.0,False,,False,True,92.763,Australian Grand Prix,2025,1
0 days 01:42:19.682000,HAM,44,0 days 00:01:32.749000,16.0,4.0,,,0 days 00:00:32.938000,0 days 00:00:19.400000,0 days 00:00:40.411000,0 days 01:41:19.963000,0 days 01:41:39.363000,0 days 01:42:19.774000,,297.0,278.0,269.0,True,INTERMEDIATE,16.0,False,Ferrari,0 days 01:40:46.933000,2025-03-16 04:48:09.552,1,8.0,False,,False,True,92.749,Australian Grand Prix,2025,1
0 days 01:43:52.512000,HAM,44,0 days 00:01:32.830000,17.0,4.0,,,0 days 00:00:32.880000,0 days 00:00:19.229000,0 days 00:00:40.721000,0 days 01:42:52.654000,0 days 01:43:11.883000,0 days 01:43:52.604000,264.0,302.0,290.0,272.0,False,INTERMEDIATE,17.0,False,Ferrari,0 days 01:42:19.682000,2025-03-16 04:49:42.301,1,8.0,False,,False,True,92.83,Australian Grand Prix,2025,1
0 days 01:45:25.389000,HAM,44,0 days 00:01:32.877000,18.0,4.0,,,0 days 00:00:32.739000,0 days 00:00:18.926000,0 days 00:00:41.212000,0 days 01:44:25.343000,0 days 01:44:44.269000,0 days 01:45:25.481000,,321.0,289.0,267.0,False,INTERMEDIATE,18.0,False,Ferrari,0 days 01:43:52.512000,2025-03-16 04:51:15.131,1,8.0,False,,False,True,92.877,Australian Grand Prix,2025,1
0 days 01:46:58.303000,HAM,44,0 days 00:01:32.914000,19.0,4.0,,,0 days 00:00:33.121000,0 days 00:00:18.861000,0 days 00:00:40.932000,0 days 01:45:58.602000,0 days 01:46:17.463000,0 days 01:46:58.395000,261.0,317.0,282.0,273.0,False,INTERMEDIATE,19.0,False,Ferrari,0 days 01:45:25.389000,2025-03-16 04:52:48.008,1,8.0,False,,False,True,92.914,Australian Grand Prix,2025,1
0 days 01:48:30.644000,HAM,44,0 days 00:01:32.341000,20.0,4.0,,,0 days 00:00:33.025000,0 days 00:00:18.909000,0 days 00:00:40.407000,0 days 01:47:31.420000,0 days 01:47:50.329000,0 days 01:48:30.736000,262.0,311.0,291.0,272.0,True,INTERMEDIATE,20.0,False,Ferrari,0 days 01:46:58.303000,2025-03-16 04:54:20.922,1,8.0,False,,False,True,92.341,Australian Grand Prix,2025,1
