,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
70,0 days 01:12:42.787000,LEC,16,,1.0,1.0,,,,0 days 00:00:32.122000,0 days 00:00:40.939000,,0 days 01:12:01.965000,0 days 01:12:42.853000,305.0,221.0,227.0,298.0,False,MEDIUM,1.0,True,Ferrari,0 days 01:11:08.287000,2025-06-29 13:18:01.080,124,6.0,False,,False,False
71,0 days 01:14:34.319000,LEC,16,111.532,2.0,1.0,,,0 days 00:00:24.098000,0 days 00:00:53.387000,0 days 00:00:34.047000,0 days 01:13:06.873000,0 days 01:14:00.260000,0 days 01:14:34.307000,121.0,162.0,197.0,170.0,True,MEDIUM,2.0,True,Ferrari,0 days 01:12:42.787000,2025-06-29 13:19:35.580,4,3.0,False,,False,False
72,0 days 01:16:25.912000,LEC,16,111.593,3.0,1.0,,,0 days 00:00:26.530000,0 days 00:00:50.544000,0 days 00:00:34.519000,0 days 01:15:00.837000,0 days 01:15:51.381000,0 days 01:16:25.900000,143.0,171.0,273.0,142.0,False,MEDIUM,3.0,True,Ferrari,0 days 01:14:34.319000,2025-06-29 13:21:27.112,41,3.0,False,,False,False
73,0 days 01:17:36.847000,LEC,16,70.935,4.0,1.0,,,0 days 00:00:17.722000,0 days 00:00:31.653000,0 days 00:00:21.560000,0 days 01:16:43.622000,0 days 01:17:15.275000,0 days 01:17:36.835000,303.0,227.0,272.0,290.0,True,MEDIUM,4.0,True,Ferrari,0 days 01:16:25.912000,2025-06-29 13:23:18.705,1,3.0,False,,False,True
74,0 days 01:18:47.074000,LEC,16,70.227,5.0,1.0,,,0 days 00:00:17.387000,0 days 00:00:31.363000,0 days 00:00:21.477000,0 days 01:17:54.222000,0 days 01:18:25.585000,0 days 01:18:47.062000,310.0,225.0,274.0,303.0,True,MEDIUM,5.0,True,Ferrari,0 days 01:17:36.847000,2025-06-29 13:24:29.640,1,3.0,False,,False,True
75,0 days 01:19:57.284000,LEC,16,70.21,6.0,1.0,,,0 days 00:00:17.441000,0 days 00:00:31.437000,0 days 00:00:21.332000,0 days 01:19:04.503000,0 days 01:19:35.940000,0 days 01:19:57.272000,295.0,223.0,275.0,293.0,True,MEDIUM,6.0,True,Ferrari,0 days 01:18:47.074000,2025-06-29 13:25:39.867,1,3.0,False,,False,True
76,0 days 01:21:07.477000,LEC,16,70.193,7.0,1.0,,,0 days 00:00:17.446000,0 days 00:00:31.384000,0 days 00:00:21.363000,0 days 01:20:14.718000,0 days 01:20:46.102000,0 days 01:21:07.465000,,222.0,273.0,292.0,True,MEDIUM,7.0,True,Ferrari,0 days 01:19:57.284000,2025-06-29 13:26:50.077,1,3.0,False,,False,True
77,0 days 01:22:17.389000,LEC,16,69.912,8.0,1.0,,,0 days 00:00:17.448000,0 days 00:00:31.269000,0 days 00:00:21.195000,0 days 01:21:24.913000,0 days 01:21:56.182000,0 days 01:22:17.377000,298.0,226.0,273.0,296.0,True,MEDIUM,8.0,True,Ferrari,0 days 01:21:07.477000,2025-06-29 13:28:00.270,1,3.0,False,,False,True
78,0 days 01:23:27.512000,LEC,16,70.123,9.0,1.0,,,0 days 00:00:17.561000,0 days 00:00:31.283000,0 days 00:00:21.279000,0 days 01:22:34.938000,0 days 01:23:06.221000,0 days 01:23:27.500000,294.0,223.0,272.0,292.0,False,MEDIUM,9.0,True,Ferrari,0 days 01:22:17.389000,2025-06-29 13:29:10.182,1,3.0,False,,False,True
79,0 days 01:24:37.581000,LEC,16,70.069,10.0,1.0,,,0 days 00:00:17.714000,0 days 00:00:31.092000,0 days 00:00:21.263000,0 days 01:23:45.214000,0 days 01:24:16.306000,0 days 01:24:37.569000,,226.0,271.0,296.0,False,MEDIUM,10.0,True,Ferrari,0 days 01:23:27.512000,2025-06-29 13:30:20.305,1,3.0,False,,False,True
80,0 days 01:25:48.146000,LEC,16,70.565,11.0,1.0,,,0 days 00:00:17.665000,0 days 00:00:31.506000,0 days 00:00:21.394000,0 days 01:24:55.234000,0 days 01:25:26.740000,0 days 01:25:48.134000,299.0,228.0,274.0,296.0,False,MEDIUM,11.0,True,Ferrari,0 days 01:24:37.581000,2025-06-29 13:31:30.374,1,3.0,False,,False,True
81,0 days 01:26:58.769000,LEC,16,70.623,12.0,1.0,,,0 days 00:00:17.680000,0 days 00:00:31.409000,0 days 00:00:21.534000,0 days 01:26:05.814000,0 days 01:26:37.223000,0 days 01:26:58.757000,297.0,226.0,272.0,293.0,False,MEDIUM,12.0,True,Ferrari,0 days 01:25:48.146000,2025-06-29 13:32:40.939,1,3.0,False,,False,True
